Pecha ID, Title, Author, Source ID, Creation Date, Last UpdateP000003,བཀའ་འགྱུར། ༼ཧེ་མིས་བྲིས་མ།༽,,bdr:W22083,-,2021-12-16 15:31:04.998007
P000087,༄༅༅། །ལུང་སྟོན་པ་ཀ་ལཱ་པའི་མཚམས་སྦྱོར་ལྔ་པའི་ལག་ལེན་བསྟན་བཅོས་བློ་གསལ་མགུལ་རྒྱན་མེ་ལོང་མའི་དོན་འགྲེལ་དོན་རྒྱན་སོ་ལྔའི་དཔེར་བརྗོད་འབྱུང་རྩིས་ཀྱི་རེའུ་མིག་ཉེར་མཁོ་ཀེག་རྩིས་ཞེ་བདུན་མའི་རྡེལ་བཤད་བལ་མོ་ལྡིང་སྐོར་གྱི་རྡེལ་བཤད་ཞལ་གདམས་དང་གཏམ་ཚོགས་བཅའ་ཡིག་གི་སྐོར་བཅས། །,-,SHE-SG-04,31/01/2020,25/11/2021
P000129,བློ་གྲོས་མཐའ་ཡས་པའི་མཛོད།,-,RDI-SS-11-1,31/01/2020,25/11/2021
P000066,༄༅། །སྨོན་པ་བྱང་ཆུབ་མཆོག་ཏུ་སེམས་བསྐྱེད་པ་ཐེག་ཆེན་ལམ་གྱི་སྙིང་པོའོ། །,-,IBA-SG-01-1,31/01/2020,25/11/2021
P000107,༄༅། །ཆོས་ཐམས་ཅད་ཀྱི་སྙིང་པོ་ཕྱག་རྒྱ་ཆེན་པོའི་དོན་ཡང་དག་པ་རབ་ཏུ་གསལ་བར་བྱེད་པ་དྲི་མ་མེད་པའི་སྒྲོན་མ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,TSD-TSE-03,31/01/2020,25/11/2021
P000030,༄༅༅། །ཚོགས་གསོག་མཆོད་འབུལ་སྣ་ཚོགས་ཀྱི་སྐོར་ཚོགས་གཉིས་ནོར་བུ་རྒྱས་པའི་སྤྲིན་ཆེན་རྒྱལ་བའི་རྟེན་གསུམ་བཞེངས་པ་དང་མཆོད་པའི་ཕན་ཡོན་ལས་འཕྲོས་པའི་གཏམ་བཅས། །,-,SHE-SG-01,31/01/2020,25/11/2021
P000272,༄༅། །སྡོམ་པ་གསུམ་གྱི་རྒྱན་ཅེས་བྱ་བའི་བསྟན་བཅོས་བཞུགས་སོ། །,-,KS-PK-17,31/01/2020,25/11/2021
P000092,༄༅། །དབང་བསྐུར་སྤྱི་ལ་འཇུག་པའི་ལག་ལེན་རྣམ་འབྱེད་མདོར་བསྡུས་པ་རབ་གསལ་ཟླ་བའི་མེ་ལོང་ཞེས་བྱ་བ་བཞུགས་སོ།།,-,SHE-RTD-012,31/01/2020,25/11/2021
P000182,༁ྃ༔ བླ་མའི་ཐུགས་སྒྲུབ་རྡོ་རྗེ་དྲག་རྩལ་ལས༔ ཞལ་གདམས་ལམ་རིམ་ཡེ་ཤེས་སྙིང་པོ་བཞུགས་སོ༔,-,SHE-RTD-017,31/01/2020,25/11/2021
P000185,༄༅། །སྒྲོལ་མའི་འགྲེལ་པ་ཕྱོགས་སྒྲིག་མེ་ཏོག་ཨུཏྤལའི་ཆུན་པོ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,BEN-LB-007,31/01/2020,25/11/2021
P000151,༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་རྣམ་པར་བཤད་པ་ཐེག་ཆེན་ཆོས་ཀྱི་རྒྱ་མཚོ་ཟབ་རྒྱས་མཐའ་ཡས་པའི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,VVI-012-1,31/01/2020,25/11/2021
P000220,༄༅། །དུས་གསུམ་རྒྱལ་བ་ཀུན་གྱི་ཡུམ་གཅིག་འཕགས་མ་ལབ་ཀྱི་སྒྲོལ་མའི་རྣམ་པར་ཐར་པ་དང༌། ཕུང་པོ་གཟན་བསྐྱུར་གྱི་རྣམ་པར་བཤད་པ་མཁའ་འགྲོ་བྱེ་བའི་གསང་ལམ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,LS-CHD-08,31/01/2020,25/11/2021
P000022,བློ་གྲོས་མཐའ་ཡས་པའི་མཛོད།,-,RDI-SS-03,31/01/2020,25/11/2021
P000049,༄༅། །རྡོ་རྗེའི་གསང་བའི་སྔགས་ཀྱི་རྒྱལ་པོ་བཛྲ་གུ་རུའི་དགོངས་དོན་རྣམ་པར་བཤད་པ་ཟབ་དོན་རྡོ་རྗེའི་གསང་མཛོད་ལས་ཅན་དད་བརྒྱའི་དགའ་སྟོན་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,SHE-DKR-08,31/01/2020,25/11/2021
P000248,༄༅། །སངས་རྒྱས་ཀྱི་དུས་ཆེན་རྣམས་དང་གུ་རུའི་ཚེས་བཅུ་སོགས་ཀྱི་ངོས་འཛིན་རྒྱུ་མཚན་ཕན་ཡོན་སོགས་བཞུགས་སོ། །,-,TSD-TSE-14,31/01/2020,25/11/2021
P000028,བྱང་ཆུབ་ལམ་སྒྲོན་,-,VVI-001,31/01/2020,25/11/2021
P000061,༄༅། །ངེས་དོན་གྱི་ལྟ་སྒོམ་ཉམས་སུ་ལེན་ཚུལ་ཇི་ལྟ་བར་སྟོན་པ་རྡོ་རྗེའི་མདོ་འཛིན་ཞེས་བྱ་བ་ལ་ལྡེབ། །,-,TSD-TSE-01,2020-01-31T11:06:29.902795,2021-11-25T11:06:29.902795
P000218,བྱང་ཆུབ་ལམ་སྒྲོན་།,-,VVI-019,31/01/2020,25/11/2021
P000067,༄༅། །ལྷག་པ་ཏིང་ངེ་འཛིན་གྱི་བསླབ་པ་རིམ་པར་ཕྱེ་བ། །,-,RDI-TOK-08-1,31/01/2020,25/11/2021
P000221,༄༅། །ཨོ་རྒྱན་གུ་རུ་པདྨ་འབྱུང་གནས་ཀྱི་སྐྱེས་རབས་རྣམ་པར་ཐར་པ་རྒྱས་པར་བཀོད་པ་པདྨ་བཀའི་ཐང་ཡིག་ཅེས་བྱ་བ་བཞུགས་སོ། །,-,LEK-PHI-113,31/01/2020,25/11/2021
P000031,༄༅། །བླ་མའི་ཐུགས་སྒྲུབ་བར་ཆད་ཀུན་སེལ་ལས། ཞལ་གདམས་སྙིང་བྱང་གི་འགྲེལ་བཤད་སྙིང་པོར་དྲིལ་བ་རྩ་གསུམ་སྒྱུ་འཕྲུལ་དྲྭ་བའི་རོལ་རྩེད་ཅེས་བྱ་བ་བཞུགས་སོ། །,-,SHE-DKR-16,31/01/2020,25/11/2021
P000021,བློ་གྲོས་མཐའ་ཡས་པའི་མཛོད།,-,RDI-SS-13,31/01/2020,25/11/2021
P000126,༄༅། །སྤྲུལ་པའི་གཏེར་སྟོན་ཆེན་མོའི་རྣམ་ཐར་གྱི་ས་བོན་ཞལ་གསུང་མ་དང་། གཏེར་འབྱུང་འགའ་ཞིག་འབེལ་གཏམ་སྣ་ཚོགས་བཅས་ཕྱོགས་བསྡོམས་རྒྱལ་བསྟན་ཉིན་བྱེད་འོད་སྣང་ཞེས་བྱ་བ་བཞུགས་སོ།།,-,SHE-RTD-006,31/01/2020,25/11/2021
P000225,༄༅། །སྡོམ་པ་གསུམ་གྱི་རྒྱན་ཅེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་ལས་ལེའུ་དང་པོ་བཞུགས་སོ། །,-,KS-PK-14,31/01/2020,25/11/2021
P000081,བློ་གྲོས་མཐའ་ཡས་པའི་མཛོད།,-,RDI-SS-11-2,31/01/2020,25/11/2021
P000052,༄༅། །ངེས་ཤེས་རིན་པོ་ཆེའི་སྒྲོན་མེ་བཞུགས་སོ། །,-,LEK-PHI-059-2,31/01/2020,25/11/2021
P000268,༄༅། །གསང་སྔགས་རྙིང་མའི་ཐེག་པ་དགུའི་འཇུག་སྒོ་ལས། དང་པོ་སྐྱབས་སུ་འགྲོ་བ་སྦྱིན་པའི་ཆོ་ག་ཤིན་ཏུ་བསྡུས་པ་བཞུགས་སོ།།,-,SHE-RTD-009,31/01/2020,25/11/2021
P000150,༄༅། །ཆོས་དབྱིངས་རིན་པོ་ཆེའི་མཛོད་ཅེས་བྱ་བ་བཞུགས། །,-,TSD-002,31/01/2020,25/11/2021
P000135,༄༅། །ཤེར་ཕྱིན་གྱི་ལུང་ལ་འཇུག་པའི་སྒོ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,KS-PK-11,31/01/2020,25/11/2021
P000114,༄༅། །དྭགས་པོ་ཆོས་བཞིའི་རྩ་བ་སྐྱེས་བུ་གསུམ་གྱི་ལམ་གྱི་མཆོག་རིན་པོ་ཆེའི་འཕྲེང་བ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,KS-PK-08,31/01/2020,25/11/2021
P000058,༄༅། །སྙིང་རྗེ་སྤྲུལ་པའི་གླེགས་བམ་བཞུགས་སོ། །,-,SHE-SHAP-05,31/01/2020,25/11/2021
P000169,༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ཚིག་འགྲེལ་འཇམ་དབྱངས་བླ་མའི་ཞལ་ལུང་བདུད་རྩིའི་ཐིག་པ་བཞུགས་སོ།། །།,-,LEK-PHI-126,31/01/2020,25/11/2021
P000097,༄༅། །མཉམ་མེད་སྒམ་པོ་མཆོག་གི་སྤྲུལ་པའི་སྐུས་འཇའ་ཚོན་ཟབ་གཏེར་ཆོག་སྒྲིག་གི་དྲི་རྨེད་གནང་བའི་ལན་དུ་གསོལ་བ་སྙིམ་པའི་ཆུ་སྐྱེས་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,TSD-TSE-06,31/01/2020,25/11/2021
P000173,༄༅། །ཕྱག་རྒྱ་ཆེན་པོ་ལྷན་ཅིག་སྐྱེས་སྦྱོར་དངོས་གཞིའི་ཁྲིད་ཡིག་འོག་མིན་ཆེན་པོར་བགྲོད་པའི་ལམ་བཟང་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,LEK-MA-DK-16,31/01/2020,25/11/2021
P000179,༄༅། །དབུ་མ་ལ་འཇུག་པའི་ཀར་ཊཱིཀ།,-,VVI-MD-004-2,31/01/2020,25/11/2021
P000204,བློ་གྲོས་མཐའ་ཡས་པའི་མཛོད།,-,RDI-SS-02,31/01/2020,25/11/2021
P000219,༄༅། །སྡོམ་པ་གསུམ་གྱི་རྒྱན་ཅེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་ལས་ལེའུ་གསུམ་པ་བཞུགས་སོ། །,-,KS-PK-16,31/01/2020,25/11/2021
P000209,༄༅། །མཁན་ཆེན་ཨ་པད་རིན་པོ་ཆེའི་ཞལ་གསུང་བློ་སྦྱོང་དོན་བདུན་མའི་བཀའ་ཁྲིད་བཞུགས་སོ། །,-,IBA-MT-01-1,31/01/2020,25/11/2021
P000128,༄༅། །དབུ་རྫོགས་ལྟ་མགུར་ཟབ་མོ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,TSD-KG-02,31/01/2020,25/11/2021
P000210,༄༅། །རྣམ་རིག་གྲུབ་པའི་རྒྱན་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,IBA-RD-2-1,31/01/2020,25/11/2021
P000084,༄༅། །ལྷག་པ་ཤེས་རབ་ཀྱི་བསླབ་པ་རིམ་པར་ཕྱེ་བ། །,-,RDI-TOK-07-1,31/01/2020,25/11/2021
P000239,༄༅། །ལེགས་བཤད་ཉི་མ་རང་ཤར་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,SHE-SHAP-15,31/01/2020,25/11/2021
P000206,༄༅༔ གསང་སྔགས་ལམ་གྱི་རིམ་པ་རིན་པོ་ཆེ་གསལ་བའི་སྒྲོན་མེ་ཞེས་བྱ་བ་བཞུགས་སོ༔,-,SHE-RTD-018,31/01/2020,25/11/2021
P000265,༄༅། །གྲུབ་པའི་དབང་ཕྱུག་ཆེན་པོ་རྗེ་བཙུན་དམ་པ་སངས་རྒྱས་ཀྱི་རྣམ་པར་ཐར་པ་དངོས་གྲུབ་འོད་སྟོང་འབར་བའི་ཉི་མ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,LS-ZHI-05-01,31/01/2020,25/11/2021
P000174,༄༅༅༔ སློབ་དཔོན་ཆེན་པོ་སྤྲུལ་སྐུ་པདྨ་འབྱུང་གནས་ཀྱི་བཀའ་འབུམ་བཞུགས་པའི་དབུའི་ཕྱོགས༔ ཆོས་འདི་ཉམས་སུ་ལེན་པའི་སྙིང་གཏམ་གྱི་ཆོས་ཡིན་པས༔ ཐུགས་སུ་ལེན་པར་མཛོད་ལེགས་སྷོ༔,-,SHE-RTD-019,31/01/2020,25/11/2021
P000124,༄༅། །འཆི་མེད་རིག་འཛིན་ཆེན་པོ་སྐུ་མི་མངོན་ཆོས་ཀྱི་དབྱིངས་སུ་གཤེགས་ཁར་གནང་བའི་ཞལ་གདམས་བཞུགས་སོ། །,-,TSD-TSE-16,31/01/2020,25/11/2021
P000104,༄༅། །རྫོགས་པ་ཆེན་པོ་ཨ་ཏི་ཟབ་དོན་སྙིང་པོའི་ཁྲིད་དམིགས་ཟིན་བྲིས་སུ་སྤེལ་བ་ཀུན་བཟང་དགོངས་རྒྱན་ཞེས་བྱ་བ་བཞུགས་སོ།།,-,SHE-RTD-023,31/01/2020,25/11/2021
P000111,གསང་བདག་ཞལ་ལུང། །,-,SHE-011-1-1,31/01/2020,25/11/2021
P000077,༄༅། །ཡ་མཚན་སྤྲུལ་པའི་གླེགས་བམ་བཞུགས་སོ། །,-,SHE-SHAP-06,31/01/2020,25/11/2021
P000112,༄༅། །མཁས་འཇུག་གི་སྡོམ་བྱང་བཞུགས་སོ། །,-,LEK-PHI-006,31/01/2020,25/11/2021
P000175,༄༅། །དོ་ཧ་སྐོར་གསུམ་གྱི་ཚིག་དོན་གྱི་རྣམ་བཤད་སེམས་ཀྱི་རྣམ་ཐར་གསལ་བར་སྟོན་པའི་མེ་ལོང་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,VVI-006,31/01/2020,25/11/2021
P000068,བློ་གྲོས་མཐའ་ཡས་པའི་མཛོད།,-,RDI-SS-21,31/01/2020,25/11/2021
P000212,༄༅། །ཐེག་པ་མཆོག་གི་རྣལ་འབྱོར་པ་བྱ་བྲལ་ཀུན་དགའ་དཔལ་ལྡན་གྱི་རྣམ་ཐར་ངོ་མཚར་བདུད་རྩིའི་སྣང་བ་བཞུགས་སོ། །,-,SHE-DKR-05,31/01/2020,25/11/2021
P000155,བློ་སྦྱོང་དོན་བདུན་མ་ཕལ་སྐད་ཀྱི་ས་བཀྲལ་བ་བློ་དམན་འཇུག་པའི་སྒོ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,VVI-015,31/01/2020,25/11/2021
P000062,༄༅། །ཕ་དམ་པ་སངས་རྒྱས་ཀྱི་འདའ་ཀ་ཞལ་ཆེམས་དིང་རི་བརྒྱ་རྩ་མ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,LS-ZHI-04,31/01/2020,25/11/2021
P000133,༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྡོམ་པའི་ཆོ་ག་དགེ་ལེགས་ཀྱི་ཆུ་རྒྱུན་ནོ། །,-,IBA-SG-04-1,31/01/2020,25/11/2021
P000085,༄༅། །ཕྱག་རྒྱ་ཆེན་པོ་ལྷན་ཅིག་སྐྱེས་སྦྱོར་གྱི་དངོས་གཞིའི་ཁྲིད་ཡིག་ཟབ་དོན་རྒྱ་མཚོའི་ལམ་ཚང་བླ་ན་མེད་པ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,LEK-MA-DK-14,31/01/2020,25/11/2021
P000274,མཁས་ཤིང་དངོས་གྲུབ་བརྙེས་པའི་རྡོ་རྗེའི་རིག་པ་འཛིན་དབང་འགྱུར་མེད་པདྨ་རྣམ་རྒྱལ་དཔལ་བཟང་པོ་སློབ་བརྒྱུད་དང་བཅས་པའི་རྣམ་ཐར་ཉུང་ངུར་བརྗོད་པ་ངོ་མཚར་ཟླ་བ་བདུད་རྩིའི་འཛུམ་ཕྲེང་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,SHE-DKR-02,31/01/2020,25/11/2021
P000158,༄༅། །ཆོས་རྗེ་མི་ཕམ་མགོན་པོས་དྲི་བ་སྔ་ཕྱི་ཐ་དད་མཛད་པའི་དྲིས་ལན་ཐོར་བུའི་སྐོར་རྣམས་ཕྱོགས་གཅིག་ཏུ་བསྡེབས་པ་བཞུགས་སོ། །,-,TSD-TSE-11,31/01/2020,25/11/2021
P000023,༄༅། །ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ལམ་ཉམས་སུ་ལེན་པའི་རིམ་པ་མུན་སེལ་སྒྲོན་མེ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,LS-ZHI-01,31/01/2020,25/11/2021
P000069,༄༅། །ཆོས་བཤད་གཞན་ཕན་ཟླ་བ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,SHE-SHAP-12,31/01/2020,25/11/2021
P000106,ཟབ་མོ་ནང་གི་དོན་ཞེས་བྱ་བའི་གཞུང་དང་། དཔལ་ཀྱེ་རྡོ་རྗེ་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་དང་། ཐེག་ཆེན་རྒྱུད་བླ་མའི་བསྟན་བཅོས། རྣམ་ཤེས་ཡེ་ཤེས་འབྱེད་པའི་བསྟན་བཅོས་དང་། དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ་བསྟན་པ་ཞེས་བྱ་བའི་བསྟན་བཅོས་བཞུགས་སོ། །,-,VVI-004,31/01/2020,25/11/2021
P000120,༄༅། །མི་ཤེས་མུན་པ་མཐུག་པོ་སེལ་བའི་ལམ་རིམ་གསལ་བའི་སྒྲོན་མེ་བཞུགས་སོ། །,-,SHE-SHAP-17,31/01/2020,25/11/2021
P000177,རྩ་བའི་རྒྱུད་ཀྱི་མཆན་འགྲིལ་ཉི་ཟླའི་སྙིང་པོ། །,-,SHE-008,31/01/2020,25/11/2021
P000235,ཕྱག་རྒྱ་ཆེན་པོའི་སྒྲོས་འབུམ་བཞུགས་སོ། །,-,VVI-MD-005,31/01/2020,25/11/2021
P000079,༄༅། །སྐྱབས་རྗེ་སེངྒེ་བྲག་པའི་གསུང་སྒྲ་འཛིན་འཁོར་ལོ་ལས་ཞལ་བཤུས། ཕྱག་ཆེན་སྔོན་འགྲོ་ཐུན་མོང་མ་ཡིན་པའི་ཁྲིད་ཡིག་བདུད་རྩིའི་ཐིགས་པ་ཞེས་བྱ་བ་བཞུགས། །,-,KS-TS-02,31/01/2020,25/11/2021
P000233,༄༅། །ཚིག་བདུན་བླ་མའི་རྣལ་འབྱོར་བྱིན་རླབས་ཆར་འབེབས་ཀྱི་དམིགས་ཁྲིད་ཉུང་བསྡུས་ཟབ་ལམ་བཅུད་དྲིལ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,SHE-DKR-14,31/01/2020,25/11/2021
P000198,བར་དོའི་ཐོས་གྲོལ་ཆེན་མོའི་ཆོས་སྐོར་ཕྱོགས་བསྒྲིགས་བཞུགས་སོ། །,-,SHE-015,31/01/2020,25/11/2021
P000205,༄༅། །ཕྱག་ཆེན་སྔོན་འགྲོ་ཐུན་མོང་གི་ཁྲིད་ཡིག་གསེར་གྱི་ཐིགས་པ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,KS-TS-01,31/01/2020,25/11/2021
P000242,བློ་གྲོས་མཐའ་ཡས་པའི་མཛོད།,-,RDI-SS-10,31/01/2020,25/11/2021
P000140,༄༅། །རྗེ་བཙུན་དམ་པ་དབྱངས་ཅན་བཟང་པོས་ཉེ་བར་སྩལ་བའི་རླུང་སེམས་དབྱེར་མེད་ཀྱི་ཁྲིད་ལེགས་པར་བཞུགས་སོ། །,-,VVI-MD-006,31/01/2020,25/11/2021
P000078,བློ་གྲོས་མཐའ་ཡས་པའི་མཛོད།,-,RDI-SS-19,31/01/2020,25/11/2021
P000045,༄༅། །དིང་རི་བ་ཆེན་པོ་འཆི་མེད་བློ་གྲོས་བརྟན་པའི་རྣམ་ཐར་ཡོན་ཏན་རབ་གསལ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,LS-ZHI-05-02,31/01/2020,25/11/2021
P000070,༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་རྣམ་པར་བཤད་པ་ཐེག་ཆེན་ཆོས་ཀྱི་རྒྱ་མཚོ་ཟབ་རྒྱས་མཐའ་ཡས་པའི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,VVI-012-2,31/01/2020,25/11/2021
P000014,མགུར་འབུམ་རྡོ་རྗེའི་གླུ།,-,SHE-DKR-17,31/01/2020,25/11/2021
P000214,༄༅། །དག་སྣང་སྤྲུལ་པའི་གླེགས་བམ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,SHE-SHAP-09,31/01/2020,25/11/2021
P000190,༄༅། རྗེ་བཙུན་འཇམ་དཔལ་དབྱངས་ཀྱི་བསྟོད་པ་བཀྲ་ཤིས་མི་འགྱུར་བའི་དགོངས་དོན་རྣམ་པར་བཤད་པ་ཀུན་མཁྱེན་དགོངས་པའི་སྲོལ་འབྱེད་ཅེས་བྱ་བ་བཞུགས་སོ། །,-,SHE-DKR-06,31/01/2020,25/11/2021
P000277,༈ འོད་གསལ་རྫོགས་པ་ཆེན་པོའི་ཁྲེགས་ཆོད་ལྟ་བའི་གླུ་དབྱངས་ས་ལམ་མ་ལུས་མྱུར་དུ་བགྲོད་པའི་རྩལ་ལྡན་མཁའ་ལྡིང་གཤོག་རླབས་ཞིས་བྱ་བ་བཞུགས་སོ། །,-,SHE-SHAP-20,31/01/2020,25/11/2021
P000047,༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,LEK-PHI-004,31/01/2020,25/11/2021
P000192,སྐུ་ཚེ་སྟོད་ཀྱི་རྣམ་ཐར་ཞལ་གསུངས་མ་བཞུགས་སོ། །,-,SHE-DKR-01,31/01/2020,25/11/2021
P000186,༄༅། །ཆོས་མངོན་པ་མཛོད་ཀྱི་བཤད་པ་འགྲེལ་པ་ལུགས་ཞེས་བྱ་བ་བཞུགས་སོ། །,-,KS-PK-04,31/01/2020,25/11/2021
P000148,༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་བསྡུས་དོན་བཞུགས་སོ། །,-,IBA-SG-03-1,31/01/2020,25/11/2021
